rank,item,count,last_seen
1,BodyJam 58,1,2025-10-01
2,BodyJam 87,1,2025-10-01
3,BodyJam 100 Bonus 2,1,2025-10-01
4,BodyJam 92,1,2025-10-02
5,BodyJam 100,1,2025-10-02
6,BodyJam 72,1,2025-10-19
7,BodyJam 73,1,2025-10-19
8,BodyJam 78,1,2025-10-29
9,BodyJam 85,1,2025-10-29
10,BodyJam 106,1,2025-10-29
11,BodyJam 77,1,2025-11-01
12,BodyJam 74,1,2025-11-09
13,BodyJam 55,1,2025-11-12
14,BodyJam 97,1,2025-11-16
15,BodyJam 73 Bonus,1,2025-12-17
16,BodyJam 80,1,2025-12-21
17,BodyJam 68,1,2025-12-28
18,BodyJam 98,2,2025-10-16
19,BodyJam 93,2,2025-10-23
20,BodyJam 109,2,2025-11-02
21,BodyJam 79,2,2025-12-11
22,BodyJam 105,2,2025-12-11
23,BodyJam 83,2,2025-12-24
24,BodyJam 99,2,2025-12-25
25,BodyJam 107,3,2025-10-26
26,BodyJam 71,3,2025-11-09
27,BodyJam 90,3,2025-11-13
28,BodyJam 95,3,2025-11-13
29,BodyJam 102,3,2025-11-16
30,BodyJam 114,3,2025-12-17
31,BodyJam 104,3,2025-12-18
32,BodyJam 82,3,2025-12-19
33,BodyJam 89,3,2025-12-26
34,BodyJam 67,3,2025-12-27
35,BodyJam 113,4,2025-11-01
36,BodyJam 84,4,2025-12-11
37,BodyJam 111,4,2025-12-17
38,BodyJam 39,4,2025-12-28
39,BodyJam 108,5,2025-11-02
40,BodyJam 112,7,2025-12-11
41,BodyJam UNKNOWN,10,2026-01-04
